index,product_id,idx
153,TSHFWZ9FC2ZVSHZ4,153
154,TSHGN5KDEHMGQGV9,154
155,KTAFN3MDVDZSHR7Z,155
156,KTAGDSZEBUGQYZ4Q,156
157,SARFZBN6AHJHF3FF,157
158,TSHGZBP8F85D6US3,158
159,TSHGZBP8SR6F6NDD,159
160,WCWGGWP7CZGAZ6TG,160
161,CRGGZG5QZGKAGRTY,161
162,BRFGGSGVKYNZMEZH,162
163,TSHFKYKBM8SNH7KY,163
164,TSHGGKPHFJ8MGTYY,164
165,BRAGHXSJPPHZQDJM,165
166,JEAG2DSFZ2VABRHD,166
167,TSHGHEW6Q3AQCV7D,167
168,KPBFPXYGHAMV9JQF,168
169,ETHGKYH7PUCX4KU6,169
170,JEAGHEAFXUGYEEWK,170
171,SHTGG249EWGWQGNF,171
172,SHTF8GZVPMHQ7527,172
173,SHTF8SXYEFBG2H5A,173
174,SHTFA9F66TBWXUPC,174
175,SHOGAX7P7SFFARSN,175
176,TSHGBAWVHHPHFUGU,176
177,TSHGBBN9FRFCGKDR,177
178,TKPGMENQGSJ9MVYX,178
179,TROGQ5YCHGEMZZDB,179
180,STCFSDZ7VFKHW7NP,180
181,TROGMNJZRDJQXPT4,181
182,BOOGM2HYMEATHBMZ,182
183,SHOGGE3VXKCSNFXJ,183
184,SHOGGUTPYZSASGW8,184
185,SFFGDSHZ8GKJVGPA,185
186,ETHGZZ9YNMEXAMYP,186
187,ETHGHJ7FA7UB5GBP,187
188,HKFG7ZXPB8FJXFMG,188
189,KTAGHRB5F8EJZXQ3,189
190,SHTGJHQY7W2HDGPQ,190
191,DREGMG8FNWKTXWAG,191
192,KTAGHGRPG3YWTFE9,192
193,SHOGGFFUGMQBJZQH,193
194,SHOGNFTTYTSRGNG9,194
195,SHTGN54ZCH5GZKHU,195
196,KDEGP38MZEDZBFNN,196
197,SHTG7BEBMYUU6GR6,197
198,RAKGEGDWGT5RRESJ,198
199,SHTESTUXHKK26PXX,199
200,SHTFXW9KJRHHAF7C,200
201,PELGGX3GFSF59WHK,201
202,SHTGNFWZT8XPGYSG,202
203,VESGAVKBZHZEEUG6,203
204,NSTGN7WHR6GMQNSQ,204
205,TOPGHMRWRQNPAUPD,205
206,PANGP3BGJRGGDZAA,206
207,HACG6DTTDK2EDGUF,207
208,SHTGNEFMECHAUDXZ,208
209,TSHGGJXMNP7XMH9E,209
210,TSHGZGC82MFYFKC3,210
211,JUMGDTYWBKFVUZZZ,211
212,SARGQWNYVQNZF7GE,212
213,KTAFWZHFCWQQJTRU,213
214,STCG984JHXXF7YGC,214
215,KGHG6KZENZK4SG3N,215
216,JEAFPAERVSWJDCXC,216
217,JWSFGH5KZ2GAHPFM,217
218,SARGNJWDZ9BHRPQC,218
219,BKPGC4RVDRHZWGGM,219
220,KSSGFMDFEMR9SJZA,220
221,SOCG54GM4SMW6CRA,221
222,TKPFEEG8TH5JBTX5,222
223,TSHGZBP8ZUGDVKSZ,223
224,VESEXFZGZNJPSEG5,224
225,TROGF3DG5JT2DWZG,225
226,SCFGCMN29NR7TNKY,226
227,DREG8ZFGP3YEUYA2,227
